cardNumber,set,name,kind,hasAssignment,isStale,sourceFile,line,note,effectText
OP02-118,OP02,Yasakani Sacred Jewel,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP02.ts,608,OP02-118 (event) Yasakani Sacred Jewel — PARTIAL: counter uses +0 power as target picker for koImmunityChosen.,[Counter] You may trash 1 card from your hand: Select up to 1 of your Characters. The selected Character cannot be K.O.'d during this battle. [Trigger] K.O. up to 1 of your opponent's Stages with a cost of 3 or less.
OP03-040,OP03,Nami,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP03.ts,274,"PARTIAL: the deck-out win-condition replacement (""reduced to 0 → you win instead of losing"") is deferred","When your deck is reduced to 0, you win the game instead of losing, according to the rules.[DON!! x1] When this Leader's attack deals damage to your opponent's Life, you may trash 1 card from the top of your deck."
OP03-076,OP03,Rob Lucci,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP03.ts,480,"OP03-076 — PARTIAL: ""trash 2 hand to arm"" reactive window deferred; mapped [Your Turn] onCharacterKoed set Leader active.","[Your Turn] [Once Per Turn] You may trash 2 cards from your hand: When your opponent's Character is K.O.'d, set this Leader as active."
OP04-090,OP04,Monkey.D.Luffy,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP04.ts,579,PARTIAL: the static active-Character attack grant is implemented below; the recycle-to-set-active line remains deferred.,"This Character can also attack active Characters.[Activate: Main] [Once Per Turn] You may return 7 cards from your trash to the bottom of your deck in any order: Set this Character as active. Then, this Character will not become active in your next Refresh Phase."
OP05-001,OP05,Sabo,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP05.ts,10,OP05-001 — PARTIAL: K.O. replacement via −1000 power instead deferred; no matching primitive.,"[DON!! x1] [Opponent's Turn] [Once Per Turn] If your Character with 5000 power or more would be K.O.'d, you may give that Character −1000 power during this turn instead of that Character being K.O.'d."
OP05-030,OP05,Donquixote Rosinante,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP05.ts,166,OP05-030 — PARTIAL: [Blocker] is printed; aura replacement for rested allies on opponent's turn.,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Opponent's Turn] If your rested Character would be K.O.'d, you may trash this Character instead."
OP05-098,OP05,Enel,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP05.ts,570,OP05-098 — PARTIAL: onLifeBecomesZero reactive window deferred; no matching primitive.,"[Opponent's Turn] [Once Per Turn] When your number of Life cards becomes 0, add 1 card from the top of your deck to the top of your Life cards. Then, trash 1 card from your hand."
OP05-100,OP05,Enel,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP05.ts,585,OP05-100 — [Rush] templated. PARTIAL: leave-field life-trash replacement + Luffy negation deferred.,"[Rush][Once Per Turn] If this Character would leave the field, you may trash 1 card from the top of your Life cards instead. If there is a [Monkey.D.Luffy] Character, this effect is negated."
OP05-119,OP05,Monkey.D.Luffy,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP05.ts,137,OP05-119 — PARTIAL: DON!!−10 bottom-deck allies + extra turn deferred; mapped [Activate: Main] ➀ add 1 active DON!!.,"[On Play] DON!! −10: Place all of your Characters except this Character at the bottom of your deck in any order. Then, take an extra turn after this one.[Activate: Main] [Once Per Turn] ➀: Add up to 1 DON!! card from your DON!! deck and set it as active."
OP06-009,OP06,Shuraiya,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP06.ts,46,OP06-009 — PARTIAL: dynamic same-power-as-opp-Leader on attack/block deferred; mapped [Blocker] only.,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[When Attacking]/[On Block] [Once Per Turn] This Character becomes the same power as your opponent's Leader until the start of your next turn."
OP06-033,OP06,Vander Decken IX,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP06.ts,210,PARTIAL: [The Ark Noah] from hand deferred; mapped Fish-Man hand trash + field Noah trash via chooseOne.,[On Play] You may trash 1 {Fish-Man} type card from your hand or 1 [The Ark Noah] from your hand or field: K.O. up to 1 of your opponent's rested Characters.
OP06-083,OP06,Oars,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP06.ts,565,PARTIAL: the static self attack lock is implemented below; the effect-negation activated ability remains deferred.,This Character cannot attack.[Activate: Main] You may K.O. 1 of your {Thriller Bark Pirates} type Characters: This Character's effect is negated during this turn.
OP06-116,OP06,Reject,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP06.ts,833,"PARTIAL: ""deal 1 damage"" when opponent has 1 Life deferred; mapped choose-one KO vs life-to-hand.","[Main] Choose one:• K.O. up to 1 of your opponent's Characters with a cost of 5 or less.• If your opponent has 1 Life card, deal 1 damage to your opponent. Then, add 1 card from the top of your Life cards to your hand. [Trigger] Draw 1 card."
OP07-031,OP07,Bartolomeo,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP07.ts,166,"OP07-031 — PARTIAL: fires on any Character rest during your turn, not only rests caused by your effects.","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Your Turn] [Once Per Turn] If a Character is rested by your effect, draw 1 card and trash 1 card from your hand."
OP07-097,OP07,Vegapunk,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP07.ts,593,"PARTIAL: the static ""cannot attack"" lock is implemented below; the activated play-or-life ability remains deferred.",This Leader cannot attack.[Activate: Main] [Once Per Turn] ① (You may rest the specified number of DON!! cards in your cost area.): Select up to 1 {Egghead} type card with a cost of 5 or less from your hand and play it or add it to the top of your Life cards face-up.
OP08-043,OP08,Edward.Newgate,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP08.ts,229,OP08-043 — PARTIAL: attack-unless-trash-2 tax deferred; mapped gated preventAttack on opp Characters.,"[On Play] If your Leader's type includes ""Whitebeard Pirates"" and you have 2 or less Life cards, select all of your opponent's Characters on their field. Until the end of your opponent's next turn, none of the selected Characters can attack unless your opponent trashes 2 cards from their hand whenever they attack."
OP09-022,OP09,Lim,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP09.ts,87,"OP09-022 — PARTIAL: ""Characters played rested"" static rule deferred; mapped activate rest-3-DON → add rested DON + play ODYSSEY.","Your Character cards are played rested.[Activate: Main] [Once Per Turn] You may rest 3 of your DON!! cards: Add up to 1 DON!! card from your DON!! deck and rest it, and play up to 1 {ODYSSEY} type Character card with a cost of 5 or less from your hand."
OP09-118,OP09,Gol.D.Roger,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP09.ts,690,OP09-118 — PARTIAL: win-the-game on Blocker at 0 Life deferred; mapped [Rush].,"[Rush] (This card can attack on the turn in which it is played.)When your opponent activates [Blocker], if either you or your opponent has 0 Life cards, you win the game."
OP10-005,OP10,Sanji,batchNote,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP10.ts,20,"── Triage batch (OP10 expressible). Opponent type-filtered targeting isn't supported, so those are deferred. ──",[Your Turn] This Character gains +3000 power.[On K.O.] Draw 1 card.
OP10-036,OP10,Perona,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP10.ts,695,PARTIAL: on-rested-by-your-effect DON setActive deferred; mapped onRested setActive DON as weak stand-in.,"[Your Turn] [Once Per Turn] If a Character is rested by your effect, set up to 1 of your DON!! cards as active."
OP10-098,OP10,Liberation,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP10.ts,571,PARTIAL: [Main] dual-K.O. with character-count gate deferred; mapped [Trigger] negate bundle.,"[Main] If the number of your Characters is at least 2 less than the number of your opponent's Characters, K.O. up to 1 of your opponent's Characters with a base cost of 6 or less and up to 1 of your opponent's Characters with a base cost of 4 or less. [Trigger] Negate the effect of up to 1 of each of your opponent's Leader and Character cards during this turn."
OP10-118,OP10,Monkey.D.Luffy,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP10.ts,732,PARTIAL: once-per-turn effect-KO immunity approximated as permanent effect immunity.,"Once per turn, this Character cannot be K.O.'d by your opponent's effects.[When Attacking] You may place 3 cards from your trash at the bottom of your deck in any order: If your opponent has 5 or more cards in their hand, your opponent trashes 1 card from their hand."
OP11-007,OP11,Tashigi,batchNote,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP11.ts,47,"── Triage batch (OP11 expressible). ""Choose a cost + reveal opp deck"" and ""turn Life face-down"" families are deferred. ──","[Activate: Main] You may rest this Character: If your Leader has the {Navy} type, up to 1 of your {Navy} type Characters gains +2000 power during this turn."
OP11-031,OP11,Jinbe,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP11.ts,185,"PARTIAL: the [Activate: Main] ""your {Fish-Man}/{Merfolk} Character can attack Characters when played"" grant is deferred.","[On Play] If your Leader has the {Fish-Man} or {Merfolk} type, rest up to 1 of your opponent's Characters with a cost of 5 or less.[Activate: Main] [Once Per Turn] Up to 1 of your {Fish-Man} or {Merfolk} type Characters can attack Characters on the turn in which it is played."
OP12-007,OP12,Shanks,batchNote,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP12.ts,25,"── Triage batch (OP12 expressible). ""reveal 2 Events from hand"" cost, ""give active DON!! to [named]"", and Events-in-trash gates are deferred. ──","[On Play] Up to 1 of your Characters with a type including ""Roger Pirates"" other than [Shanks] gains [Rush] during this turn.(This card can attack on the turn in which it is played.)"
OP12-036,OP12,Roronoa Zoro,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP12.ts,206,"PARTIAL: ""this card in your hand cannot be played by effects"" remains deferred.","This card in your hand cannot be played by effects.If your Leader has the <Slash> attribute, this Character cannot be K.O.'d in battle by <Slash> attribute cards and gains +1000 power."
OP12-075,OP12,Ms. All Sunday,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP12.ts,466,OP12-075 — [On Play] K.O. up to 1 opp Character cost ≤3. [Trigger] DON!! −1: Play this card. PARTIAL: opponent's DON!! ramp drawback deferred.,"[On Play] K.O. up to 1 of your opponent's Characters with a cost of 3 or less. Then, your opponent may add 1 DON!! card from their DON!! deck and set it as active. [Trigger] DON!! −1: Play this card."
OP12-099,OP12,Kalgara,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP12.ts,609,"OP12-099 — PARTIAL: general Life-removal trigger + ""cannot draw"" rider deferred; mapped draw on Life damage dealt.","[Your Turn] When a card is removed from your or your opponent's Life cards, draw 1 card. Then, you cannot draw cards using your own effects during this turn."
OP13-002,OP13,Portgas.D.Ace,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP13.ts,833,PARTIAL: onOpponentsAttack −2000 only; damage/KO draw trigger deferred.,"[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: Give up to 1 of your opponent's Leader or Character cards −2000 power during this battle.[DON!! x1] [Once Per Turn] When you take damage or your Character with 6000 base power or more is K.O.'d, draw 1 card."
OP13-003,OP13,Gol.D.Roger,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP13.ts,36,PARTIAL: the DON-placement routing rule is deferred (needs DON-phase modifier).,"If you have any DON!! cards on your field, 1 DON!! card placed during your DON!! Phase is given to your Leader.If you have 9 or less DON!! cards on your field, give this Leader −2000 power."
OP13-005,OP13,Inazuma,batchNote,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP13.ts,50,"── Triage batch (OP13 expressible). ""give DON!! to [named]"" is approximated as give-to-Leader/Char; OR-type/attr gates, any-DON-given & trash-count gates, and ""turn Life face-up"" cost are deferred. ──",[On Play] Give up to 1 rested DON!! card to your Leader.
OP13-079,OP13,Imu,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP13.ts,494,"PARTIAL: deck-construction restriction (""cannot include Events cost 2+"") remains deferred — no","Under the rules of this game, you cannot include Events with a cost of 2 or more in your deck and at the start of the game, play up to 1 {Mary Geoise} type Stage card from your deck.[Activate: Main] [Once Per Turn] You may trash 1 of your {Celestial Dragons} type Characters or 1 card from your hand: Draw 1 card."
OP14-014,OP14,"Eustass""Captain""Kid",batchNote,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP14.ts,94,"── Triage batch (OP14 expressible). Self-power gates, ""becomes rested"" triggers, and choice/target-swap effects are deferred. ──","[Blocker][On Play] If your Leader has the {Supernovas} type, play up to 1 red Character card with 2000 power or less from your hand."
OP14-056,OP14,Wadatsumi,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP14.ts,565,PARTIAL: the static self attack lock is implemented below; the effect-negation trigger remains deferred.,"This Character cannot attack.When a card is trashed from your hand by an effect, this Character's effect is negated during this turn."
OP14-070,OP14,Buffalo,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP14.ts,654,PARTIAL: opponent-Character-effect rested gate + DON return cost deferred; mapped setActiveSelf on onRested.,"When this Character becomes rested by your opponent's Character's effect, you may return 1 DON!! card from your field to your DON!! deck. If you do, set this Character as active.[Blocker]"
OP14-079,OP14,Crocodile,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP14.ts,717,"OP14-079 — PARTIAL: ""opp Characters cannot be removed by your effects"" static rule deferred; mapped activate KO Baroque Works → opp −10 cost + trash 2 deck.","All of your opponent's Characters cannot be removed from the field by your effects.[Activate: Main] [Once Per Turn] You may K.O. 1 of your Characters with a type including ""Baroque Works"": Give up to 1 of your opponent's Characters −10 cost during this turn. Then, you may trash 2 cards from the top of your deck."
OP14-105,OP14,Gorgon Sisters,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP14.ts,908,PARTIAL: reveal-3 hand cost and multi-target DON!! distribution remain deferred; Trigger is mapped.,"[Activate: Main] [Once Per Turn] You may reveal 3 {Amazon Lily} or {Kuja Pirates} type cards from your hand: Give your Leader and all of your Characters up to 1 rested DON!! card each. [Trigger] If your Leader has the {Kuja Pirates} type, play this card."
OP15-007,OP15,Gin,batchNote,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP15.ts,102,"── Triage batch (OP15 expressible). Opponent-DON manipulation, name-target buffs, turn-Life-face costs, and trash-count gates are deferred. ──","[On Play] If your Leader has the {East Blue} type, play up to 1 Character card with a cost of 5 or less from your hand."
OP15-008,OP15,Krieg,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP15.ts,657,PARTIAL: [Activate: Main] DON-scaling debuff deferred; mapped onPlay give 3 opp rested DON + Rush.,"[On Play] Give up to 3 of your opponent's rested DON!! cards to 1 of your opponent's Characters. Then, this Character gains [Rush] during this turn.[Activate: Main] [Once Per Turn] If this Character was played on this turn, give all of your opponent's Characters −1000 power during this turn for every DON!! card given to that Character."
OP15-022,OP15,Brook,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP15.ts,248,PARTIAL: deck-empty loss rule deferred; mapped activateMain trash + conditional setActive.,"Under the rules of this game, you do not lose when your deck has 0 cards. You lose at the end of the turn in which your deck becomes 0 cards.[Activate: Main] [Once Per Turn] Trash 4 cards from the top of your deck. Then, if your deck has 0 cards, set up to 1 of your Characters as active."
OP15-031,OP15,Purinpurin,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP15.ts,313,PARTIAL: cost-equals-given-DON K.O. gate deferred; mapped K.O. rested Character with any given DON.,"[On Play] Select up to 1 of your opponent's rested Characters. If the chosen Character has a cost equal to the number of DON!! cards given to it, K.O. it."
OP15-093,OP15,The Risky Brothers,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP15.ts,901,"PARTIAL: granting the <Slash> attribute itself has no engine primitive (no continuous ""add attribute"" op exists) — still dropped.","[Activate: Main] You may trash this Character: If you have 15 or more cards in your trash, up to 1 of your [Monkey.D.Luffy] Characters gains [Rush: Character] and the <Slash> attribute during this turn."
OP15-119,OP15,Monkey.D.Luffy,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP15.ts,646,PARTIAL: opponent Event/Blocker activation + Life-reveal scaling power deferred.,"If you have 6 or more DON!! cards on your field, this Character gains [Rush].When your opponent activates an Event or [Blocker], reveal up to 1 card from the top of your Life cards. This Character gains +1000 power during this turn per 1 cost on the revealed card."
OP16-006,OP16,Shanks,batchNote,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP16.ts,53,── Triage batch (OP16 expressible). Named-present gates and opp-Life-to-opponent's-hand are deferred. ──,[On Play] You may rest 2 of your DON!! cards: K.O. up to 1 of your opponent's Characters with 4000 power or less.
OP16-118,OP16,Portgas.D.Ace,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\OP16.ts,903,"OP16-118 — [On Play]/[On K.O.] Look 5, reveal up to 1 [Monkey.D.Luffy]/{Whitebeard Pirates} to hand, rest to bottom. PARTIAL: static hand-counter buff deferred.","The counter of all of your Character cards with 8000 power in your hand becomes +2000.[On Play]/[On K.O.] Look at 5 cards from the top of your deck; reveal up to 1 [Monkey.D.Luffy] or up to 1 card with a type including ""Whitebeard Pirates"" and add it to your hand. Then, place the rest at the bottom of your deck in any order."
P-084,P,Buggy,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\P.ts,105,"PARTIAL: the self ""cannot attack"" lock is implemented below; the leader-gated global cost-3/4 aura remains deferred.","This Character cannot attack.If your Leader is [Buggy], all Characters with a cost of 3 or 4 cannot attack.[On Play] Play up to 1 {Cross Guild} type Character card with a cost of 6 or less from your hand."
PRB02-009,PRB02,Mr.3(Galdino),partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\PRB.ts,54,"PARTIAL: ""rested by opponent's effect"" trigger deferred; mapped onRested trash-self → draw 2.",This effect can be activated when this Character is rested by your opponent's effect. You may trash this Character and draw 2 cards.[Blocker]
ST07-009,ST07,Charlotte Mont-d'or,deferred,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\ST07.ts,99,ST07-009 - rest self + mandatory Life payment: K.O. cost <=3. Trigger is deferred until source-safe trigger costs exist.,[Activate: Main] You may rest this Character and add 1 card from the top or bottom of your Life cards to your hand: K.O. up to 1 of your opponent's Characters with a cost of 3 or less. [Trigger] You may trash 1 card from your hand: Play this card.
ST13-003,ST13,Monkey.D.Luffy,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\ST13.ts,57,ST13-003 — PARTIAL: face-up Life-to-deck-bottom replacement rule deferred.,"Your face-up Life cards are placed at the bottom of your deck instead of being added to your hand, according to the rules.[DON!! x2] [Activate: Main] [Once Per Turn] You may trash 1 card from your hand: If you have 0 Life cards, add up to 2 Character cards with a cost of 5 from your hand or trash to the top of your Life cards face-up."
ST28-004,ST28,Kouzuki Momonosuke,partial,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\ST28.ts,24,ST28-004 — PARTIAL: DON!! return-to-cost rested modeled as donMinus; Leader +1000 if ≤2 Life mapped.,"[Your Turn] If you have 2 or less Life cards, your Leader gains +1000 power.[Activate: Main] [Once Per Turn] You may return 2 total of your currently given DON!! cards to your cost area rested: This Character gains [Rush] and +1000 power during this turn.(This card can attack on the turn in which it is played.)"
ST30-007,ST30,Portgas.D.Ace,batchNote,true,false,C:\Users\Adhitya Noor Muslim\Claude\Projects\One Piece TCG Online\src\cards\effectTemplates\assignments\ST30.ts,34,"── Triage batch (ST30 expressible). ""reveal 6000-power Char from hand"" costs and self/named power gates deferred. ──",[On Play] You may rest 1 of your DON!! cards: This Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.)[When Attacking] Give up to 1 of your opponent's Characters −1000 power during this turn.
