set,cardNumber,name,category,bucket,capabilities,unmappedOps,reasons,effectText
EB01,EB01-033,Blueno,character,expressible,trashFromHand+playFromHand,,,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, play up to 1 {Water Seven} type Character card with a cost of 5 other than [Blueno] from your hand or trash."
EB01,EB01-034,Ms. Wednesday,character,expressible,addKeyword+addDonFromDeck,,,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", add up to 1 DON!! card from your DON!! deck and set it as active."
EB01,EB01-038,Oh Come My Way,event,needsPrimitive,draw,unrecognized,,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", select 1 of your Characters. Change the attack target to the selected Character. [Trigger] DON!! −1: Draw 2 cards."
EB01,EB01-042,Scarlet,character,expressible,trashFromHand+playFromHand+addCost,,,"[Activate: Main] You may trash this Character: Play up to 1 {Dressrosa} type Character card with a cost of 3 or less other than [Scarlet] from your hand rested. Then, give up to 1 of your opponent's Characters −2 cost during this turn."
EB01,EB01-052,Viola,character,needsPrimitive,addKeyword,unrecognized,,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Choose one:• Look at all of your opponent's Life cards and place them back in their Life area in any order.• Turn all of your Life cards face-down."
EB01,EB01-057,Shirahoshi,character,defer,moveCards,,custom-trigger,"When this Character is K.O.'d by your opponent's effect, add up to 1 card from the top of your deck to the top of your Life cards.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)"
EB01,EB01-059,Kingdom Come,event,expressible,ko+trashFromHand+moveCards,,,"[Main] K.O. up to 1 of your opponent's Characters. Then, trash cards from the top of your Life cards until you have 1 Life card. [Trigger] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the total of your and your opponent's Life cards."
EB01,EB01-060,Did Someone Say...Kami?,event,expressible,trashFromHand+playFromHand+moveCards+draw,,,"[Main] Play up to 1 [Enel] with a cost of 7 or less from your hand or trash. Then, trash cards from the top of your Life cards until you have 1 Life card. [Trigger] Draw 2 cards and trash 1 card from your hand."
EB01,EB01-061,Mr.2.Bon.Kurei(Bentham),character,defer,addDonFromDeck,unrecognized,dynamic-scaling,[On Play] Add up to 1 DON!! card from your DON!! deck and set it as active.[When Attacking] Select up to 1 of your opponent's Characters. This Character's base power becomes the same as the selected Character's power during this turn.
EB02,EB02-009,Thousand Sunny,stage,expressible,rest,,,[Activate: Main] You may rest this Stage: Give up to 1 of your currently given DON!! cards to 1 of your {Straw Hat Crew} type Characters.
EB02,EB02-010,Monkey.D.Luffy,leader,needsPrimitive,addPower,unrecognized,,"[Activate: Main] [Once Per Turn] DON!! −2: If the only Characters on your field are {Straw Hat Crew} type Characters, set up to 2 of your DON!! cards as active. Then, this Leader gains +1000 power until the end of your opponent's next turn."
EB02,EB02-018,Buggy,character,expressible,addKeyword+rest,,,"[On Play] If you have no other [Buggy] Characters, up to 1 of your Leader gains [Double Attack] during this turn. [Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less."
EB02,EB02-022,Usopp,character,expressible,playFromHand,,,"[On Play] If you have 2 or less Characters with 5000 power or more, play up to 1 Character card with 6000 power or less and no base effect from your hand."
EB02,EB02-023,Crocodile,character,defer,searchTopDeck,,custom-trigger,"[Your Turn] [Once Per Turn] When your opponent's Character is returned to the owner's hand by your effect, look at 3 cards from the top of your deck and place them at the top or bottom of the deck in any order."
EB02,EB02-025,Donquixote Rosinante,character,needsPrimitive,rest+searchTopDeck+playFromHand,unrecognized,,"[Activate: Main] You may rest 1 of your DON!! cards and this Character: If your Leader is [Donquixote Rosinante], look at 5 cards from the top of your deck; play up to 1 Character card with a cost of 2 or less rested. Then, place the rest at the bottom of your deck in any order."
EB02,EB02-028,Portgas.D.Ace,character,needsPrimitive,searchTopDeck+playFromHand,unrecognized,,"[On Play] If your Leader's type includes ""Whitebeard Pirates"", look at 5 cards from the top of your deck; reveal up to 1 Character card with a cost of 2 and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 Character card with a cost of 2 from your hand rested."
EB02,EB02-030,And That's When Somebody Makes Fun of Their Friend's Dream!!!!,event,defer,trashFromHand+draw,,replacement-effect,"[Counter] If any of your Characters would be K.O.'d in battle during this turn, you may trash 1 card from your hand instead. [Trigger] Draw 1 card."
EB02,EB02-032,Iceburg,character,needsPrimitive,searchTopDeck+playFromHand,unrecognized,,"[On Play] If you have 3 or more DON!! cards on your field, look at 7 cards from the top of your deck; reveal up to 1 [Galley-La Company] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Galley-La Company] from your hand."
EB02,EB02-035,Sanji & Pudding,character,expressible,addDonFromDeck+draw,,,"[Your Turn] [Once Per Turn] When 2 or more DON!! cards on your field are returned to your DON!! deck, add up to 1 DON!! card from your DON!! deck and set it as active.[On Play] If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, draw 1 card."
EB02,EB02-037,Franky,character,needsPrimitive,rest+addDonFromDeck,unrecognized,,"[On Play]/[When Attacking] If your Leader has the {Straw Hat Crew} type and the number of DON!! cards on your field is equal to or less than the number on your opponent's field, add up to 1 DON!! card from your DON!! deck and rest it."
EB02,EB02-039,GERMA 66,event,expressible,trashFromHand+playFromHand,,,"[Main] You may trash 1 {GERMA 66} type Character card with 4000 power or less from your hand: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, play up to 1 Character card with 5000 to 7000 power and the same card name as the trashed card from your trash."
EB02,EB02-041,Merry Go,stage,expressible,draw+addCost+rest,,,"[On Play] If your Leader has the {Straw Hat Crew} type, draw 1 card.[Activate: Main] You may rest this Stage: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, up to 1 of your {Straw Hat Crew} type Characters gains +2 cost until the end of your opponent's next turn."
EB02,EB02-045,Trafalgar Law,character,expressible,addKeyword+draw+trashFromHand,,,"[Blocker][On Play] You may place 2 cards from your trash at the bottom of your deck in any order: Choose one:• Draw 1 card.• If your opponent has 5 or more cards in their hand, your opponent trashes 1 card from their hand."
EB02,EB02-051,Three-Pace Hum Soul Notch Slash,event,expressible,addCost+ko,,,[Main] Choose one:• K.O. up to 1 of your opponent's Characters with a cost of 2 or less.• Give up to 1 of your opponent's Characters −4 cost during this turn.
EB02,EB02-052,Enel,character,expressible,addKeyword+trashFromHand+moveCards+addPower,,,"If your Leader has the {Sky Island} type, this Character gains [Rush].[When Attacking] You may trash 1 card from your hand: If you have 1 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards. Then, this Character gains +1000 power during this turn."
EB02,EB02-056,Vegapunk,character,expressible,addKeyword+searchTopDeck+playFromHand+trashFromHand+draw,,,"[Blocker][On Play] Look at 5 cards from the top of your deck; play up to 1 {Scientist} type Character card with a cost of 5 or less other than [Vegapunk]. Then, place the rest at the bottom of your deck in any order and if your opponent has 2 or less Characters, trash 1 card from your hand. [Trigger] Draw 1 card."
EB02,EB02-060,Merry Go,stage,expressible,addPower+rest,,,[Activate: Main] You may rest this Stage and turn 1 card from the top of your Life cards face-up: Up to 1 of your {Straw Hat Crew} type Characters gains +1000 power until the end of your opponent's next turn.
EB02,EB02-061,Monkey.D.Luffy,character,needsPrimitive,addKeyword,unrecognized,,"If your Leader is multicolored and your opponent has 5 or more DON!! cards on their field, this Character gains [Rush].[When Attacking] [Once Per Turn] You may return 2 of your active DON!! cards to your DON!! deck: Set this Character as active. Then, add 1 card from the top of your Life cards to your hand."
EB03,EB03-001,Nefeltari Vivi,leader,defer,trashFromHand+addPower+rest+addKeyword,unrecognized,replacement-effect,"[Once Per Turn] If your Character with a base cost of 4 or more would be K.O.'d, you may trash 1 card from your hand instead.[Activate: Main] You may rest this Leader: Give up to 1 of your opponent's Characters −2000 power during this turn. Then, up to 1 of your Characters without a [When Attacking] effect gains [Rush] during this turn."
EB03,EB03-003,Uta,character,expressible,draw+playFromHand,,,"[On Play] If your Leader is [Uta], draw 2 cards. Then, play up to 1 Character card with 6000 power or less and no base effect from your hand."
EB03,EB03-004,Carina,character,expressible,addKeyword+addPower,,,"[Blocker][Opponent's Turn] If your Leader is multicolored and you have no Characters with 6000 base power or more, this Character gains +4000 power."
EB03,EB03-005,Sugar,character,expressible,playFromHand,,,"[On Play] If your Leader is [Sugar], play up to 1 {Donquixote Pirates} type Character card with 6000 power or less from your hand rested."
EB03,EB03-006,Nami,character,expressible,draw+addPower,,,"[On Play] You may give your active Leader −5000 power during this turn: Draw 1 card.[Activate: Main] [Once Per Turn] If your Leader has the {Alabasta} type, give up to 1 of your opponent's Characters −1000 power during this turn."
EB03,EB03-007,Baccarat,character,expressible,addKeyword+playFromHand,,,[Blocker][On K.O.] Play up to 1 Character card with 6000 power or less and no base effect from your hand.
EB03,EB03-009,Makino,character,expressible,addPower+rest,,,[Activate: Main] You may rest this Character: Up to 1 of your Characters with no base effect gains +2000 power during this turn.
EB03,EB03-012,Otama,character,expressible,rest,,,[Activate: Main] You may rest this Character: Rest up to 1 of your opponent's DON!! cards or {Animal} or {SMILE} type Characters with a cost of 3 or less.
EB03,EB03-014,Kuina,character,expressible,rest+giveDon,,,[Activate: Main] You may rest this Character: Give up to 2 rested DON!! cards to your <Slash> attribute Leader.
EB03,EB03-015,Camie,character,expressible,rest+giveDon,,,"[Activate: Main] You may rest this Character: Give up to 1 rested DON!! card to 1 of your {Fish-Man} or {Merfolk} type Leader or Character cards. Then, rest up to 1 of your opponent's Characters with a cost of 2 or less."
EB03,EB03-017,Jewelry Bonney,character,needsPrimitive,,unrecognized,,"[On Play] If your Leader has the {Supernovas} type, set up to 1 of your DON!! cards as active. Then, up to 1 of your opponent's Characters with a cost of 8 or less cannot be rested until the end of your opponent's next End Phase."
EB03,EB03-018,Tashigi,character,needsPrimitive,addKeyword+rest+trashFromHand,,negate-effect,[Opponent's Turn] This Character cannot be K.O.'d by your opponent's effects and gains [Blocker].[End of Your Turn] You may rest 1 of your DON!! cards and trash 1 card from your hand: Set this Character as active.
EB03,EB03-020,"There You Are, Sore Loser!",event,needsPrimitive,addPower,unrecognized,,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or more {FILM} type Characters, that card gains an additional +2000 power during this battle. [Trigger] Set up to 1 of your Characters as active."
EB03,EB03-024,Nefeltari Vivi,character,needsPrimitive,addKeyword+playFromHand,unrecognized,,"[Blocker][On Play] Play up to 1 {Alabasta} or {Straw Hat Crew} type Character card with a cost of 5 or less from your hand. Then, you cannot play any Character cards on your field during this turn."
EB03,EB03-026,Boa Hancock,character,needsPrimitive,giveDon,unrecognized,,"[On Play] If your opponent has 5 or more cards in their hand, your opponent places 1 card from their hand at the bottom of their deck.[Activate: Main] [Once Per Turn] You may place 1 of your Characters at the bottom of the owner's deck: Give your Leader and 1 Character up to 1 rested DON!! card each."
EB03,EB03-031,Vinsmoke Reiju,character,needsPrimitive,trashFromHand,unrecognized,,"[Your Turn] [On Play] DON!! −1: If your Leader is [Sanji], activate the [Main] effect of up to 1 Event card with a cost of 7 or less in your trash."
EB03,EB03-033,Charlotte Brulee,character,expressible,rest+addDonFromDeck,,,"[Opponent's Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck by your effect, if your Leader has the {Big Mom Pirates} type, add up to 1 DON!! card from your DON!! deck and rest it."
EB03,EB03-034,Charlotte Linlin,character,expressible,draw+addDonFromDeck+moveCards,,,"[On Play] Draw 1 card and place 1 card from your hand at the top of your deck. Then, add up to 1 DON!! card from your DON!! deck and set it as active.[On K.O.] DON!! −1: Add up to 1 card from the top of your deck to the top of your Life cards."
EB03,EB03-035,Charlotte Pudding,character,expressible,addKeyword+rest+addDonFromDeck,,,"[Blocker][On Play] If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, add up to 1 DON!! card from your DON!! deck and rest it."
EB03,EB03-038,Thanks for the Treat. ♡,event,expressible,rest+addDonFromDeck+addPower,,,"[Main] You may rest 1 of your DON!! cards: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field and you only have Characters with a type including ""GERMA"", add up to 2 DON!! cards from your DON!! deck and rest them.[Counter] Your Leader gains +3000 power during this battle."
EB03,EB03-041,Kujyaku,character,expressible,addPower+draw+trashFromHand,,,[Opponent's Turn] All of your {SWORD} type Characters with a cost of 6 or less gain +2000 power.[On Play] You may trash 1 {Navy} type card from your hand: Draw 2 cards.
EB03,EB03-044,Black Maria,character,needsPrimitive,addKeyword+searchTopDeck+playFromHand,unrecognized,,"If your Leader is multicolored, this Character gains [Blocker].[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Onigashima Island] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Onigashima Island] from your hand."
EB03,EB03-045,Perona,character,expressible,addKeyword+giveDon+trashFromHand+playFromHand,,,"[Blocker][On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters. Then, if you have 10 or more cards in your trash, play up to 1 {Thriller Bark Pirates} type Character card with a cost of 2 or less from your trash rested."
EB03,EB03-046,Miss Doublefinger(Zala),character,expressible,draw+trashFromHand,,,"[On Play] If there is a Character with a cost of 0 or with a cost of 8 or more, draw 1 card.[On K.O.] Trash 2 cards from the top of your deck."
EB03,EB03-048,Rebecca,character,needsPrimitive,addKeyword+searchTopDeck+playFromHand,unrecognized,,"[Blocker][On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Dressrosa} type Stage card and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 {Dressrosa} type Stage card with a cost of 1 from your hand."
EB03,EB03-049,I Knew You People Were Behind This.,event,expressible,rest+trashFromHand+playFromHand+addPower,,,"[Main] You may rest 7 of your DON!! cards: If your Leader is [Perona], play up to 1 {Thriller Bark Pirates} type Character card with a cost of 6 or less and up to 1 {Thriller Bark Pirates} type Character card with a cost of 4 or less from your hand or trash.[Counter] Your Leader gains +3000 power during this battle."
EB03,EB03-051,Charlotte Smoothie,character,needsPrimitive,ko,unrecognized,,"[On Play] If you have a face-up Life card, K.O. up to 1 of your opponent's Characters with a cost of 2 or less. Then, turn all of your Life cards face-down."
EB03,EB03-053,Nami,character,needsPrimitive,giveDon+playFromHand,unrecognized,,"[On Play] Give up to 1 rested DON!! card to your Leader. Then, if your opponent has 3 or more Life cards, add up to 1 card from the top of your opponent's Life cards to the owner's hand.[On K.O.] You may turn 1 card from the top of your Life cards face-up: Play up to 1 Character card with 6000 power or less from your hand."
EB03,EB03-054,Nico Robin,character,expressible,trashFromHand+moveCards+playFromHand,,,[On Play] You may trash 1 card from the top of your Life cards: Add up to 1 card from the top of your deck to the top of your Life cards. [Trigger] You may trash 1 card from your hand: Play this card.
EB03,EB03-055,Nico Robin,character,needsPrimitive,trashFromHand+moveCards,unrecognized,,"[On Play] You may trash 1 card from the top of your Life cards: If your Leader has the {Straw Hat Crew} type, add up to 2 cards from the top of your deck to the top of your Life cards.[Opponent's Turn] [On K.O.] You may deal 1 damage to your opponent."
EB03,EB03-059,S-Snake,character,needsPrimitive,,unrecognized,attack-restriction,"[On Play] If your Leader has the {Egghead} type and you have 2 or more Life cards, add up to 1 Character card with a [Trigger] from your hand to the top of your Life cards face-up. [Trigger] Up to 1 of your opponent's Characters with a cost of 6 or less other than [Monkey.D.Luffy] cannot attack during this turn."
EB03,EB03-061,Uta,character,needsPrimitive,rest,unrecognized,mixed-don-or-char-target,"[Activate: Main] [Once Per Turn] Set up to 1 of your DON!! cards as active. Then, rest up to 1 of your opponent's DON!! cards or Characters with a cost of 4 or less.[End of Your Turn] You may rest 1 of your DON!! cards: Set up to 1 of your {FILM} type Characters as active."
EB04,EB04-001,Jewelry Bonney,leader,needsPrimitive,addPower,unrecognized,,"[Opponent's Turn] If you have 1 or less Life cards, this Leader gains +2000 power.[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1000 power during this turn. Then, if you have 2 or more Life cards, you may add 1 card from the top of your Life cards to your hand."
EB04,EB04-005,Trafalgar Law,character,needsPrimitive,,unrecognized,attack-restriction,This Character cannot attack unless your opponent has 2 or more Characters with a base power of 5000 or more.
EB04,EB04-009,It's My Student's Farewell. I Want It to Be Proper.,event,expressible,addPower,,,[Main] You may give 1 active DON!! card to 1 of your [Silvers Rayleigh]: Give up to 1 of your opponent's Characters −2000 power during this turn.[Counter] Up to 1 of your Characters or [Silvers Rayleigh] gains +2000 power during this battle.
EB04,EB04-010,Lulucia Kingdom,stage,needsPrimitive,addPower,unrecognized,,[Opponent's Turn] All of your Characters with a base cost of 1 gain +5000 power.[On Play] Set the power of up to 1 of your opponent's Characters to 0 during this turn.
EB04,EB04-011,Scaled Neptunian,character,defer,addKeyword+draw+trashFromHand,,dynamic-scaling+attack-restriction,"[Rush: Character] (This card can attack Characters on the turn in which it is played.)[On Play] Draw a card for each of your {Neptunian} type Characters. Then, trash the same number of cards from your hand."
EB04,EB04-012,Kikunojo,character,needsPrimitive,,unrecognized,,"[Activate: Main] [Once Per Turn] If this Character was played on this turn, set your {Land of Wano} type Leader as active."
EB04,EB04-013,Carrot,character,needsPrimitive,,unrecognized,,"[On Play] If your Leader has the {Minks} type, set up to 2 of your {Minks} type Characters and your Leader as active."
EB04,EB04-015,Jinbe,character,expressible,addKeyword+rest+playFromHand,,,"[Blocker][On K.O.] You may rest 1 of your cards: If your Leader has the {Fish-Man} or {Merfolk} type, play up to 1 green Character card with a cost of 6 or less from your hand."
EB04,EB04-016,Bird Neptunian,character,needsPrimitive,rest,unrecognized,,"[Activate: Main] Set up to 1 of your DON!! cards as active. Then, you cannot set DON!! cards as active using Character effects during this turn.[When Attacking] If you have 3 or more {Neptunian} type Characters, rest up to 1 of your opponent's Characters with a cost of 8 or less."
EB04,EB04-019,Eleclaw,event,expressible,addCost+rest+addPower,,,"[Main] You may rest 1 of your cards: If your Leader has the {Minks} type, give up to 1 of your opponent's Characters −3 cost during this turn.[Counter] Up to 1 of your {Minks} type Leader or Character cards gains +3000 power during this battle."
EB04,EB04-022,Issho,character,expressible,trashFromHand+addPower,,,"[On Play] You may trash 2 cards from your hand: If your opponent has 6 or more cards in their hand, your opponent places 2 cards from their hand at the bottom of their deck in any order.[DON!! x1] [When Attacking] You may trash 1 card from your hand: Give up to 1 of your opponent's Characters −2000 power during this turn."
EB04,EB04-023,Chaka & Pell,character,expressible,addKeyword+draw+addPower,,,[Double Attack] (This card deals 2 damage.)[On Play] You may give your active Leader −5000 power during this turn: Draw 2 cards.
EB04,EB04-025,Nefeltari Vivi,character,needsPrimitive,playFromHand,unrecognized,,"[On Play] Play up to 1 {Alabasta} type Character card with a cost of 8 or less other than [Nefeltari Vivi] from your hand. Then, your opponent places 1 card from their hand at the bottom of their deck."
EB04,EB04-030,Kaido,character,defer,addKeyword+rest,unrecognized,replacement-effect,"If this Character would be K.O.'d, you may return 1 DON!! card from your field to your DON!! deck instead.[On Play] DON!! −2: If your Leader has the {Animal Kingdom Pirates} type, this Character gains [Rush] during this turn. Then, rest up to 1 of your opponent's Characters with a cost of 7 or less."
EB04,EB04-031,King,character,defer,rest+addDonFromDeck,unrecognized,replacement-effect,"If this Character would be K.O.'d, you may return 1 DON!! card from your field to your DON!! deck instead.[Activate: Main] [Once Per Turn] If your Leader has the {Animal Kingdom Pirates} type and you have no other [King] Characters, add up to 1 DON!! card from your DON!! deck and set it as active, and add up to 1 additional DON!! card and rest it."
EB04,EB04-032,Queen,character,expressible,draw+trashFromHand+rest+addDonFromDeck,,,"[On Play] You may trash 1 {Animal Kingdom Pirates} type card from your hand: Draw 2 cards.[Activate: Main] [Once Per Turn] You may rest 2 of your DON!! cards: If your Leader has the {Animal Kingdom Pirates} type, add up to 1 DON!! card from your DON!! deck and rest it."
EB04,EB04-034,Charlotte Pudding,character,expressible,addKeyword+addPower+trashFromHand,,,"[Blocker][On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If you have 4 or more Events in your trash, up to 1 of your Leader or Character cards gains +2000 power during this battle."
EB04,EB04-035,Hitokiri Kamazo,character,expressible,addKeyword+rest+addDonFromDeck,,,"[Blocker][Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, if your Leader has the {Kid Pirates} type, add up to 1 DON!! card from your DON!! deck and rest it."
EB04,EB04-036,Foxy,character,expressible,draw+trashFromHand+rest+addDonFromDeck,,,"[On Play] DON!! −1: If your Leader has the {Foxy Pirates} type, draw 2 cards and trash 1 card from your hand. Then, rest up to 1 of your opponent's Characters with a cost of 9 or less.[Activate: Main] [Once Per Turn] Add up to 1 DON!! card from your DON!! deck and rest it."
EB04,EB04-038,Rosinante & Law,character,needsPrimitive,draw+addDonFromDeck,unrecognized,,"Under the rules of this game, also treat this card's name as [Trafalgar Law] and [Donquixote Rosinante].[Blocker][On Play] If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, draw 1 card. Then, add up to 1 DON!! card from your DON!! deck and set it as active."
EB04,EB04-040,Flame Dragon Torch,event,expressible,addPower+rest,,,"[Main] You may rest 6 of your DON!! cards: Up to 1 of your [Kaido] cards gains +3000 power during this turn. Then, rest up to 1 of your opponent's Characters.[Counter] DON!! −1: Your Leader gains +4000 power during this battle."
EB04,EB04-041,Stealth Black,event,expressible,trashFromHand+playFromHand+draw,,,"[Main] If your Leader is [Sanji] and you have 4 or more DON!! cards on your field, play up to 1 [Sanji] with 6000 power or less from your hand or trash. [Trigger] Draw 2 cards and trash 1 card from your hand."
EB04,EB04-043,Kaku,character,defer,trashFromHand,,replacement-effect,"[Once Per Turn] If your black Character with a base cost of 5 or less would be K.O.'d by your opponent's effect, you may place 3 cards from your trash at the bottom of your deck in any order instead.[On Play] Trash 2 cards from the top of your deck."
EB04,EB04-044,Koby,character,defer,draw+trashFromHand,,replacement-effect+custom-trigger,"[Once Per Turn] If your Leader's type includes ""Navy"" and this Character would be removed from the field, you may trash 1 card from your hand instead.[Your Turn] [Once Per Turn] When your opponent's Character is K.O.'d, draw 1 card."
EB04,EB04-045,Ginny,character,expressible,addPower+rest,,,"[Activate: Main] You may rest this Character: If there are 2 or more Characters with a cost of 8 or more, up to 1 of your {Revolutionary Army} type Leader or Character cards gains +1000 power during this turn."
EB04,EB04-047,Helmeppo,character,expressible,trashFromHand+playFromHand,,,[Activate: Main] You may trash this Character: Play up to 1 {SWORD} type Character card with a cost of 3 or less other than [Helmeppo] from your hand or trash.
EB04,EB04-048,Rob Lucci,character,expressible,addPower+addCost+trashFromHand+draw,,,"If your Leader's type includes ""CP"", this Character gains +1000 power and +2 cost for every 5 cards in your trash.[On Play] You may trash 1 of your Characters: Draw 1 card."
EB04,EB04-051,Emet,character,needsPrimitive,addPower+playFromHand,unrecognized,attack-restriction,"This Character cannot attack unless there is a Character with 12000 base power or more. [Trigger] Give all of your opponent's Characters −3000 power during this turn. Then, if you have 0 Life cards, play this card."
EB04,EB04-052,Sanji,character,defer,playFromHand,unrecognized,dynamic-scaling,"[When Attacking] This Character's base power becomes the same as your opponent's Leader during this turn.[On K.O.] If you have 2 or less Life cards, play up to 1 yellow Character card with 6000 power or less from your hand."
EB04,EB04-054,Bartholomew Kuma,character,needsPrimitive,moveCards,unrecognized,,"[On Play] If you have 2 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards.[On K.O.] Add up to 1 card from the top of your opponent's Life cards to the owner's hand."
EB04,EB04-055,Bartholomew Kuma,character,needsPrimitive,playFromHand,,combined-total-gate,"[On K.O.] Play up to 1 {Revolutionary Army} type Character card with a cost of 4 or less from your hand. [Trigger] If your Leader has the {Revolutionary Army} type and you and your opponent have a total of 5 or less Life cards, play this card."
EB04,EB04-056,Pacifista,character,expressible,addKeyword,,,"If you have [Jewelry Bonney] and you have 0 Life cards, this Character gains [Blocker].(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)"
EB04,EB04-059,Black Rope Dragon Twister,event,expressible,ko+draw+trashFromHand,,,"[Main] You may turn 1 card from the top of your Life cards face-up: If you have less Characters than your opponent, K.O. up to 1 of your opponent's Characters with a cost of 6 or less and up to 1 of your opponent's Characters with a cost of 5 or less. [Trigger] Draw 2 cards and trash 1 card from your hand."
EB04,EB04-060,Gum-Gum Hawk Gatling,event,expressible,moveCards+addPower+draw+trashFromHand,,,"[Main] You may add 1 card from the top or bottom of your Life cards to your hand: Add up to 1 {Egghead} type Character card from your hand to the top of your Life cards face-up. Then, give up to 1 of your opponent's Characters −1000 power during this turn. [Trigger] Draw 2 cards and trash 1 card from your hand."
EB04,EB04-061,Monkey.D.Luffy,character,expressible,addCost+addPower+trashFromHand+addKeyword,,,"If you have 1 or less Life cards, give this card in your hand −1 cost.[On Play] You may trash 1 card from your hand: Your Leader gains +2000 power until the end of your opponent's next End Phase. Then, this Character gains [Blocker] until the end of your opponent's next End Phase."
OP01,OP01-002,Trafalgar Law,leader,expressible,moveCards+playFromHand,,,"[Activate: Main] [Once Per Turn] ➁ (You may rest the specified number of DON!! cards in your cost area.): If you have 5 Characters, return 1 of your Characters to the owner's hand. Then, play up to 1 Character with a cost of 5 or less from your hand that is a different color than the returned Character."
