set,cardNumber,name,category,status,compiledAbilities,effectAbilities,triggers,parserReview,effectText
EB01,EB01-033,Blueno,character,unimplemented,0,1,,yes,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, play up to 1 {Water Seven} type Character card with a cost of 5 other than [Blueno] from your hand or trash."
EB01,EB01-034,Ms. Wednesday,character,unimplemented,0,1,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", add up to 1 DON!! card from your DON!! deck and set it as active."
EB01,EB01-035,Ms. Monday,character,partial,1,2,onPlay,yes,"[On Play] If your Leader's type includes ""Baroque Works"", up to 1 of your Leader or Character cards gains +1000 power during this turn. [Trigger] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card."
EB01,EB01-036,Minochihuahua,character,unimplemented,0,1,,yes,"[Rush] (This card can attack on the turn in which it is played.)[On K.O.] If your Leader has the {Impel Down} type, add up to 1 DON!! card from your DON!! deck and rest it."
EB01,EB01-037,Mr. 9,character,unimplemented,0,1,,yes,[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 2 or less.
EB01,EB01-038,Oh Come My Way,event,partial,1,2,trigger,yes,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", select 1 of your Characters. Change the attack target to the selected Character. [Trigger] DON!! −1: Draw 2 cards."
EB01,EB01-039,Conquerer of Three Worlds Ragnaraku,event,complete,2,2,activateMain|trigger,yes,[Main] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 8 or less. [Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.
EB01,EB01-040,Kyros,leader,unimplemented,0,1,,yes,[Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: K.O. up to 1 of your opponent's Characters with a cost of 0.
EB01,EB01-041,Crocus,character,unimplemented,0,1,,yes,Former Roger Pirates
EB01,EB01-042,Scarlet,character,unimplemented,0,1,,yes,"[Activate: Main] You may trash this Character: Play up to 1 {Dressrosa} type Character card with a cost of 3 or less other than [Scarlet] from your hand rested. Then, give up to 1 of your opponent's Characters −2 cost during this turn."
EB01,EB01-043,Spandine,character,unimplemented,0,1,,yes,"[On Play] You may place 3 cards with a type including ""CP"" from your trash at the bottom of your deck in any order: Play up to 1 Character card with a type including ""CP"" and a cost of 4 or less other than [Spandine] from your trash rested."
EB01,EB01-044,Funkfreed,character,complete,1,1,activateMain,yes,[Activate: Main] You may rest this Character: Up to 1 of your [Spandam] Characters gains +3000 power during this turn.
EB01,EB01-045,Brook,character,keyword,0,0,,yes,"[On Play] If your opponent has a Character with a cost of 0, this Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.)"
EB01,EB01-046,Brook,character,unimplemented,0,2,,yes,"[On Play]/[When Attacking] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, K.O. up to 1 of your opponent's Characters with a cost of 0."
EB01,EB01-047,Laboon,character,unimplemented,0,1,,yes,"[Once Per Turn] When a Character is K.O.'d, draw 1 card and trash 1 card from your hand."
EB01,EB01-048,Laboon,character,unimplemented,0,1,,yes,[Activate: Main] You may rest this Character: Give up to 1 of your opponent's Characters −4 cost during this turn.
EB01,EB01-049,T-Bone,character,complete,1,1,onPlay,yes,[On Play] K.O. up to 1 of your opponent's Characters with a cost of 2 or less.
EB01,EB01-050,...I Want to Live!!,event,unimplemented,0,1,,yes,"[Counter] If you have 30 or more cards in your trash, add up to 1 card from the top of your deck to the top of your Life cards."
EB01,EB01-051,Finger Pistol,event,unimplemented,0,3,,yes,[Main] You may trash 2 cards from the top of your deck: K.O. up to 1 of your opponent's Characters with a cost of 5 or less. [Trigger] Activate this card's [Main] effect.
EB01,EB01-052,Viola,character,unimplemented,0,1,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Choose one:• Look at all of your opponent's Life cards and place them back in their Life area in any order.• Turn all of your Life cards face-down."
EB01,EB01-053,Gastino,character,unimplemented,0,2,,yes,[On Play] Place up to 1 of your opponent's Characters with a cost of 3 or less at the top or bottom of your opponent's Life cards face-up. [Trigger] Give up to a total of 2 of your opponent's Leader or Character cards −3000 power during this turn.
EB01,EB01-054,Gan.Fall,character,unimplemented,0,1,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If your opponent has 1 or less Life cards, K.O. up to 1 of your opponent's Characters with a cost of 3 or less."
EB01,EB01-055,Charlotte Compote,character,unimplemented,0,1,,yes,Big Mom Pirates
EB01,EB01-056,Charlotte Flampe,character,complete,1,1,onPlay,,[On Play] You may add 1 card from the top or bottom of your Life cards to your hand: Draw 1 card.
EB01,EB01-057,Shirahoshi,character,unimplemented,0,1,,yes,"When this Character is K.O.'d by your opponent's effect, add up to 1 card from the top of your deck to the top of your Life cards.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)"
EB01,EB01-058,Mont Blanc Cricket,character,complete,1,1,onEnterPlay,yes,"[DON!! x1] [Your Turn] If you have 2 or less Life cards, this Character gains +2000 power."
EB01,EB01-059,Kingdom Come,event,unimplemented,0,2,,yes,"[Main] K.O. up to 1 of your opponent's Characters. Then, trash cards from the top of your Life cards until you have 1 Life card. [Trigger] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the total of your and your opponent's Life cards."
EB01,EB01-060,Did Someone Say...Kami?,event,partial,1,2,trigger,yes,"[Main] Play up to 1 [Enel] with a cost of 7 or less from your hand or trash. Then, trash cards from the top of your Life cards until you have 1 Life card. [Trigger] Draw 2 cards and trash 1 card from your hand."
EB01,EB01-061,Mr.2.Bon.Kurei(Bentham),character,partial,1,2,onPlay,yes,[On Play] Add up to 1 DON!! card from your DON!! deck and set it as active.[When Attacking] Select up to 1 of your opponent's Characters. This Character's base power becomes the same as the selected Character's power during this turn.
EB02,EB02-001,Karoo,character,unimplemented,0,1,,yes,Animal/Alabasta
EB02,EB02-002,Sabo,character,complete,1,1,activateMain,yes,[Activate: Main] You may rest this Character: Up to 1 of your {Revolutionary Army} type Characters other than [Sabo] gains +2000 power during this turn.
EB02,EB02-003,Tony Tony.Chopper,character,complete,2,2,onEnterPlay|onPlay,yes,"[DON!! x2] [Opponent's Turn] This Character gains +2000 power.[On Play] If your Leader has the {Straw Hat Crew} type, give up to 1 rested DON!! card to your Leader or 1 of your Characters."
EB02,EB02-005,Fake Straw Hat Crew,character,complete,1,1,onEnterPlay,,[Your Turn] This Character gains +2000 power.[Opponent's Turn] Give this Character −2000 power.
EB02,EB02-006,Yamato,character,unimplemented,0,1,,yes,"[Activate: Main] [Once Per Turn] If your Leader has the {Land of Wano} type or is [Portgas.D.Ace], give up to 1 rested DON!! card to 1 of your Leader. Then, this Character gains [Rush] during this turn."
EB02,EB02-007,Cloven Rose Blizzard,event,complete,2,2,activateMain|trigger,yes,"[Main] Up to a total of 3 of your Leader and Character cards gain +1000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 3000 power or less. [Trigger] K.O. up to 1 of your opponent's Characters with 4000 power or less."
EB02,EB02-008,The Peak,event,partial,1,3,activateMain,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-009,Thousand Sunny,stage,unimplemented,0,1,,yes,[Activate: Main] You may rest this Stage: Give up to 1 of your currently given DON!! cards to 1 of your {Straw Hat Crew} type Characters.
EB02,EB02-010,Monkey.D.Luffy,leader,unimplemented,0,1,,yes,"[Activate: Main] [Once Per Turn] DON!! −2: If the only Characters on your field are {Straw Hat Crew} type Characters, set up to 2 of your DON!! cards as active. Then, this Leader gains +1000 power until the end of your opponent's next turn."
EB02,EB02-011,Arlong,character,unimplemented,0,1,,yes,"[On Play] If your Leader has the {Fish-Man} or {East Blue} type, give up to 1 rested DON!! card to 1 of your Leader. Then, up to 1 of your opponent's Characters with a cost of 5 or less cannot be rested until the end of your opponent's next turn."
EB02,EB02-012,Gaimon,character,keyword,0,0,,yes,"If you have a [Sarfunkel], this Character gains [Blocker]."
EB02,EB02-013,Carrot,character,unimplemented,0,1,,yes,"[On Play] If you have 3 or more DON!! cards on your field, look at 7 cards from the top of your deck; reveal up to 1 [Zou] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Zou] from your hand."
EB02,EB02-014,Sarfunkel,character,complete,1,1,onPlay,yes,[On Play] Play up to 1 [Gaimon] from your hand.
EB02,EB02-015,Jewelry Bonney,character,unimplemented,0,1,,yes,"[On Play] Up to 1 of your opponent's rested Characters will not become active in your opponent's next Refresh Phase. Then, set up to 1 of your DON!! cards as active at the end of this turn."
EB02,EB02-016,Chopperman,character,partial,1,2,onPlay,yes,Also treat this card's name as [Tony Tony.Chopper] according to the rules.[On Play] Play up to 1 {Animal} type Character card with a cost of 3 or less from your hand.
EB02,EB02-017,Nami,character,complete,1,1,onPlay,yes,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order."
EB02,EB02-018,Buggy,character,complete,1,1,trigger,yes,"[On Play] If you have no other [Buggy] Characters, up to 1 of your Leader gains [Double Attack] during this turn. [Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less."
EB02,EB02-019,Roronoa Zoro,character,partial,1,2,onPlay,yes,"If your opponent has 2 or more Characters, this Character can attack Characters on the turn in which it is played.[On Play] If your Leader has the {Straw Hat Crew} type, rest up to 1 of your opponent's Characters with a cost of 4 or less."
EB02,EB02-020,We Are!,event,partial,1,3,activateMain,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-021,Gum-Gum Giant Pistol,event,partial,1,2,trigger,yes,"[Main] Up to 1 of your {Straw Hat Crew} type Characters gains +6000 power during this turn. Then, the selected Character will not become active in your next Refresh Phase. [Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less."
EB02,EB02-022,Usopp,character,unimplemented,0,1,,yes,"[On Play] If you have 2 or less Characters with 5000 power or more, play up to 1 Character card with 6000 power or less and no base effect from your hand."
EB02,EB02-023,Crocodile,character,unimplemented,0,1,,yes,"[Your Turn] [Once Per Turn] When your opponent's Character is returned to the owner's hand by your effect, look at 3 cards from the top of your deck and place them at the top or bottom of the deck in any order."
EB02,EB02-024,Sogeking,character,unimplemented,0,2,,yes,"Also treat this card's name as [Usopp] according to the rules.[On Play] Draw 2 cards and place 2 cards from your hand at the bottom of your deck in any order. Then, return up to 1 Character with a cost of 1 or less to the owner's hand."
EB02,EB02-025,Donquixote Rosinante,character,unimplemented,0,1,,yes,"[Activate: Main] You may rest 1 of your DON!! cards and this Character: If your Leader is [Donquixote Rosinante], look at 5 cards from the top of your deck; play up to 1 Character card with a cost of 2 or less rested. Then, place the rest at the bottom of your deck in any order."
EB02,EB02-026,Nefeltari Vivi,character,complete,1,1,onPlay,yes,"[On Play] If your Leader is multicolored and you have 5 or less cards in your hand, draw 2 cards."
EB02,EB02-027,Vista,character,unimplemented,0,1,,yes,[On Play] Place up to 1 of your opponent's Characters with 1000 power or less at the bottom of the owner's deck.
EB02,EB02-028,Portgas.D.Ace,character,complete,1,1,onPlay,yes,"[On Play] If your Leader's type includes ""Whitebeard Pirates"", look at 5 cards from the top of your deck; reveal up to 1 Character card with a cost of 2 and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 Character card with a cost of 2 from your hand rested."
EB02,EB02-030,And That's When Somebody Makes Fun of Their Friend's Dream!!!!,event,partial,1,2,trigger,yes,"[Counter] If any of your Characters would be K.O.'d in battle during this turn, you may trash 1 card from your hand instead. [Trigger] Draw 1 card."
EB02,EB02-031,Hope,event,partial,1,3,activateMain,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-032,Iceburg,character,unimplemented,0,1,,yes,"[On Play] If you have 3 or more DON!! cards on your field, look at 7 cards from the top of your deck; reveal up to 1 [Galley-La Company] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Galley-La Company] from your hand."
EB02,EB02-033,Klabautermann,character,keyword,0,0,,yes,"If you have [Merry Go] on your field, this Character gains [Blocker]."
EB02,EB02-035,Sanji & Pudding,character,unimplemented,0,2,,yes,"[Your Turn] [Once Per Turn] When 2 or more DON!! cards on your field are returned to your DON!! deck, add up to 1 DON!! card from your DON!! deck and set it as active.[On Play] If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, draw 1 card."
EB02,EB02-036,Nico Robin,character,unimplemented,0,1,,yes,"[Blocker][On K.O.] DON!! −1: Look at 3 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
EB02,EB02-037,Franky,character,unimplemented,0,2,,yes,"[On Play]/[When Attacking] If your Leader has the {Straw Hat Crew} type and the number of DON!! cards on your field is equal to or less than the number on your opponent's field, add up to 1 DON!! card from your DON!! deck and rest it."
EB02,EB02-038,Magellan,character,complete,1,1,onPlay,yes,[On Play] Play up to 1 {Impel Down} type Character card with a cost of 2 or less from your hand.
EB02,EB02-039,GERMA 66,event,unimplemented,0,1,,yes,"[Main] You may trash 1 {GERMA 66} type Character card with 4000 power or less from your hand: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, play up to 1 Character card with 5000 to 7000 power and the same card name as the trashed card from your trash."
EB02,EB02-040,BRAND NEW WORLD,event,partial,1,3,activateMain,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-041,Merry Go,stage,partial,1,2,onPlay,yes,"[On Play] If your Leader has the {Straw Hat Crew} type, draw 1 card.[Activate: Main] You may rest this Stage: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, up to 1 of your {Straw Hat Crew} type Characters gains +2 cost until the end of your opponent's next turn."
EB02,EB02-042,All-Hunt Grount,character,unimplemented,0,1,,yes,Navy
EB02,EB02-044,Sengoku,character,unimplemented,0,1,,yes,[Blocker][On Play] Play up to 1 black {Navy} type Character card with a cost of 4 or less from your trash rested.
EB02,EB02-045,Trafalgar Law,character,unimplemented,0,1,,yes,"[Blocker][On Play] You may place 2 cards from your trash at the bottom of your deck in any order: Choose one:• Draw 1 card.• If your opponent has 5 or more cards in their hand, your opponent trashes 1 card from their hand."
EB02,EB02-046,Hildon,character,unimplemented,0,1,,yes,[On Play] Trash 2 cards from the top of your deck and give up to 1 of your opponent's Characters −1 cost during this turn.
EB02,EB02-047,Blueno,character,unimplemented,0,1,,yes,"[Activate: Main] You may trash 1 card from your hand and trash this Character: Play up to 1 Character card with a type including ""CP"" and a cost of 5 or less other than [Blueno] from your trash."
EB02,EB02-048,Brook,character,complete,2,2,onKO|onPlay,yes,[On Play] Add up to 1 [Laboon] from your trash to your hand.[On K.O.] Play up to 1 [Laboon] with a cost of 4 or less from your hand.
EB02,EB02-049,Monkey.D.Garp,character,partial,1,2,activateMain,yes,"[On Play] Give up to 2 rested DON!! cards to 1 of your Leader.[Activate: Main] You may rest this Character: If your Leader is [Monkey.D.Garp], K.O. up to 1 of your opponent's Characters with a cost of 1 or less."
EB02,EB02-050,Kokoro no Chizu,event,partial,1,3,activateMain,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-051,Three-Pace Hum Soul Notch Slash,event,unimplemented,0,1,,yes,[Main] Choose one:• K.O. up to 1 of your opponent's Characters with a cost of 2 or less.• Give up to 1 of your opponent's Characters −4 cost during this turn.
EB02,EB02-052,Enel,character,unimplemented,0,1,,yes,"If your Leader has the {Sky Island} type, this Character gains [Rush].[When Attacking] You may trash 1 card from your hand: If you have 1 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards. Then, this Character gains +1000 power during this turn."
EB02,EB02-053,Myskina Olga,character,unimplemented,0,2,,yes,[On Play]/[On K.O.] Look at up to 1 card from the top of your or your opponent's Life cards and place it at the top or bottom of the Life cards.
EB02,EB02-054,Sanji,character,complete,1,1,onPlay,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If you have 2 or less Life cards, draw 2 cards and trash 1 card from your hand."
EB02,EB02-055,Jinbe,character,unimplemented,0,1,,yes,"[Trigger] If your Leader has the {Fish-Man} or {Merfolk} type and you have 2 or less Life cards, play this card."
EB02,EB02-056,Vegapunk,character,partial,1,2,trigger,yes,"[Blocker][On Play] Look at 5 cards from the top of your deck; play up to 1 {Scientist} type Character card with a cost of 5 or less other than [Vegapunk]. Then, place the rest at the bottom of your deck in any order and if your opponent has 2 or less Characters, trash 1 card from your hand. [Trigger] Draw 1 card."
EB02,EB02-057,Mad Treasure,character,unimplemented,0,1,,yes,[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: Add up to 1 of your opponent's Characters with a cost of 3 or less to the top or bottom of your opponent's Life cards face-up.
EB02,EB02-058,UUUUUS!,event,partial,1,3,activateMain,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-059,Without Your Help I Can't Become the King of the Pirates!!!!,event,unimplemented,0,1,,yes,"[Counter] Up to 1 of your Leader or Character cards gains +1000 power during this battle. Then, if you have 1 or less Life cards, play up to 1 of your yellow {Straw Hat Crew} type Character cards or [Sanji] with a cost of 5 or less from your hand."
EB02,EB02-060,Merry Go,stage,unimplemented,0,1,,yes,[Activate: Main] You may rest this Stage and turn 1 card from the top of your Life cards face-up: Up to 1 of your {Straw Hat Crew} type Characters gains +1000 power until the end of your opponent's next turn.
EB02,EB02-061,Monkey.D.Luffy,character,unimplemented,0,1,,yes,"If your Leader is multicolored and your opponent has 5 or more DON!! cards on their field, this Character gains [Rush].[When Attacking] [Once Per Turn] You may return 2 of your active DON!! cards to your DON!! deck: Set this Character as active. Then, add 1 card from the top of your Life cards to your hand."
EB03,EB03-001,Nefeltari Vivi,leader,unimplemented,0,2,,yes,"[Once Per Turn] If your Character with a base cost of 4 or more would be K.O.'d, you may trash 1 card from your hand instead.[Activate: Main] You may rest this Leader: Give up to 1 of your opponent's Characters −2000 power during this turn. Then, up to 1 of your Characters without a [When Attacking] effect gains [Rush] during this turn."
EB03,EB03-002,Ain,character,unimplemented,0,1,,yes,FILM/Neo Navy
EB03,EB03-003,Uta,character,unimplemented,0,1,,yes,"[On Play] If your Leader is [Uta], draw 2 cards. Then, play up to 1 Character card with 6000 power or less and no base effect from your hand."
EB03,EB03-004,Carina,character,unimplemented,0,1,,yes,"[Blocker][Opponent's Turn] If your Leader is multicolored and you have no Characters with 6000 base power or more, this Character gains +4000 power."
EB03,EB03-005,Sugar,character,complete,1,1,onPlay,yes,"[On Play] If your Leader is [Sugar], play up to 1 {Donquixote Pirates} type Character card with 6000 power or less from your hand rested."
EB03,EB03-006,Nami,character,partial,1,2,activateMain,yes,"[On Play] You may give your active Leader −5000 power during this turn: Draw 1 card.[Activate: Main] [Once Per Turn] If your Leader has the {Alabasta} type, give up to 1 of your opponent's Characters −1000 power during this turn."
EB03,EB03-007,Baccarat,character,unimplemented,0,1,,yes,[Blocker][On K.O.] Play up to 1 Character card with 6000 power or less and no base effect from your hand.
EB03,EB03-008,Hibari,character,partial,1,3,activateMain,yes,[On Play]/[When Attacking] Up to 1 of your {SWORD} type Leader or Character cards can also attack active Characters during this turn.[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1000 power during this turn.
EB03,EB03-009,Makino,character,complete,1,1,activateMain,yes,[Activate: Main] You may rest this Character: Up to 1 of your Characters with no base effect gains +2000 power during this turn.
EB03,EB03-010,Monet,character,unimplemented,0,1,,yes,"[Blocker][On Play] Look at 5 cards from the top of your deck; reveal up to 1 Character card with 1000 power or less or up to 1 Event card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
EB03,EB03-011,But If We Ever See Each Other Again... Will You Call Me Your Shipmate?!!,event,complete,2,2,counter|trigger,yes,"[Counter] If your Leader is [Nefeltari Vivi], up to 1 of your Leader or Character cards gains +4000 power during this battle. [Trigger] Give up to 1 of your opponent's Characters −2000 power during this turn."
EB03,EB03-012,Otama,character,unimplemented,0,1,,yes,[Activate: Main] You may rest this Character: Rest up to 1 of your opponent's DON!! cards or {Animal} or {SMILE} type Characters with a cost of 3 or less.
EB03,EB03-013,Carrot,character,unimplemented,0,1,,yes,"[Activate: Main] [Once Per Turn] If this Character was played on this turn, K.O. up to 1 of your opponent's rested Characters with a cost of 5 or less. Then, play up to 1 [Zou] from your hand."
EB03,EB03-014,Kuina,character,unimplemented,0,1,,yes,[Activate: Main] You may rest this Character: Give up to 2 rested DON!! cards to your <Slash> attribute Leader.
