set,cardNumber,name,category,timings,detectedOps,optional,conditional,parserReview,effectText
EB02,EB02-020,We Are!,event,activateMain|custom,lookTopDeck,,,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-021,Gum-Gum Giant Pistol,event,activateMain|custom,modifyPower+rest,,,yes,"[Main] Up to 1 of your {Straw Hat Crew} type Characters gains +6000 power during this turn. Then, the selected Character will not become active in your next Refresh Phase. [Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less."
EB02,EB02-022,Usopp,character,onPlay,playCard,,yes,yes,"[On Play] If you have 2 or less Characters with 5000 power or more, play up to 1 Character card with 6000 power or less and no base effect from your hand."
EB02,EB02-023,Crocodile,character,custom,lookTopDeck,,,yes,"[Your Turn] [Once Per Turn] When your opponent's Character is returned to the owner's hand by your effect, look at 3 cards from the top of your deck and place them at the top or bottom of the deck in any order."
EB02,EB02-024,Sogeking,character,custom|onPlay,draw+returnToHand,,,yes,"Also treat this card's name as [Usopp] according to the rules.[On Play] Draw 2 cards and place 2 cards from your hand at the bottom of your deck in any order. Then, return up to 1 Character with a cost of 1 or less to the owner's hand."
EB02,EB02-025,Donquixote Rosinante,character,activateMain,rest+lookTopDeck+playCard,yes,yes,yes,"[Activate: Main] You may rest 1 of your DON!! cards and this Character: If your Leader is [Donquixote Rosinante], look at 5 cards from the top of your deck; play up to 1 Character card with a cost of 2 or less rested. Then, place the rest at the bottom of your deck in any order."
EB02,EB02-026,Nefeltari Vivi,character,onPlay,draw,,yes,yes,"[On Play] If your Leader is multicolored and you have 5 or less cards in your hand, draw 2 cards."
EB02,EB02-027,Vista,character,onPlay,(none),,,yes,[On Play] Place up to 1 of your opponent's Characters with 1000 power or less at the bottom of the owner's deck.
EB02,EB02-028,Portgas.D.Ace,character,onPlay,lookTopDeck+playCard,,yes,yes,"[On Play] If your Leader's type includes ""Whitebeard Pirates"", look at 5 cards from the top of your deck; reveal up to 1 Character card with a cost of 2 and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 Character card with a cost of 2 from your hand rested."
EB02,EB02-030,And That's When Somebody Makes Fun of Their Friend's Dream!!!!,event,counter|custom,trash+draw,yes,yes,yes,"[Counter] If any of your Characters would be K.O.'d in battle during this turn, you may trash 1 card from your hand instead. [Trigger] Draw 1 card."
EB02,EB02-031,Hope,event,activateMain|custom,lookTopDeck,,,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-032,Iceburg,character,onPlay,lookTopDeck+playCard,,yes,yes,"[On Play] If you have 3 or more DON!! cards on your field, look at 7 cards from the top of your deck; reveal up to 1 [Galley-La Company] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Galley-La Company] from your hand."
EB02,EB02-035,Sanji & Pudding,character,custom|onPlay,donFromDeck+draw,,yes,yes,"[Your Turn] [Once Per Turn] When 2 or more DON!! cards on your field are returned to your DON!! deck, add up to 1 DON!! card from your DON!! deck and set it as active.[On Play] If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, draw 1 card."
EB02,EB02-036,Nico Robin,character,onKO,grantKeyword+lookTopDeck,,,yes,"[Blocker][On K.O.] DON!! −1: Look at 3 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
EB02,EB02-037,Franky,character,onPlay|whenAttacking,rest+donFromDeck,,yes,yes,"[On Play]/[When Attacking] If your Leader has the {Straw Hat Crew} type and the number of DON!! cards on your field is equal to or less than the number on your opponent's field, add up to 1 DON!! card from your DON!! deck and rest it."
EB02,EB02-038,Magellan,character,onPlay,playCard,,,yes,[On Play] Play up to 1 {Impel Down} type Character card with a cost of 2 or less from your hand.
EB02,EB02-039,GERMA 66,event,activateMain,trash+playCard,yes,yes,yes,"[Main] You may trash 1 {GERMA 66} type Character card with 4000 power or less from your hand: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, play up to 1 Character card with 5000 to 7000 power and the same card name as the trashed card from your trash."
EB02,EB02-040,BRAND NEW WORLD,event,activateMain|custom,lookTopDeck,,,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-041,Merry Go,stage,onPlay|activateMain,draw+modifyCost+rest,yes,yes,yes,"[On Play] If your Leader has the {Straw Hat Crew} type, draw 1 card.[Activate: Main] You may rest this Stage: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, up to 1 of your {Straw Hat Crew} type Characters gains +2 cost until the end of your opponent's next turn."
EB02,EB02-044,Sengoku,character,onPlay,grantKeyword+trash+playCard,,,yes,[Blocker][On Play] Play up to 1 black {Navy} type Character card with a cost of 4 or less from your trash rested.
EB02,EB02-045,Trafalgar Law,character,onPlay,grantKeyword+draw+trash,yes,yes,yes,"[Blocker][On Play] You may place 2 cards from your trash at the bottom of your deck in any order: Choose one:• Draw 1 card.• If your opponent has 5 or more cards in their hand, your opponent trashes 1 card from their hand."
EB02,EB02-046,Hildon,character,onPlay,modifyCost+trash,,,yes,[On Play] Trash 2 cards from the top of your deck and give up to 1 of your opponent's Characters −1 cost during this turn.
EB02,EB02-047,Blueno,character,activateMain,trash+playCard,yes,,yes,"[Activate: Main] You may trash 1 card from your hand and trash this Character: Play up to 1 Character card with a type including ""CP"" and a cost of 5 or less other than [Blueno] from your trash."
EB02,EB02-048,Brook,character,onPlay|onKO,trash+playCard,,,yes,[On Play] Add up to 1 [Laboon] from your trash to your hand.[On K.O.] Play up to 1 [Laboon] with a cost of 4 or less from your hand.
EB02,EB02-049,Monkey.D.Garp,character,onPlay|activateMain,giveDon+ko+rest,yes,yes,yes,"[On Play] Give up to 2 rested DON!! cards to 1 of your Leader.[Activate: Main] You may rest this Character: If your Leader is [Monkey.D.Garp], K.O. up to 1 of your opponent's Characters with a cost of 1 or less."
EB02,EB02-050,Kokoro no Chizu,event,activateMain|custom,lookTopDeck,,,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-051,Three-Pace Hum Soul Notch Slash,event,activateMain,modifyCost+ko,,,yes,[Main] Choose one:• K.O. up to 1 of your opponent's Characters with a cost of 2 or less.• Give up to 1 of your opponent's Characters −4 cost during this turn.
EB02,EB02-052,Enel,character,whenAttacking,trash+lifeChange+modifyPower,yes,yes,yes,"If your Leader has the {Sky Island} type, this Character gains [Rush].[When Attacking] You may trash 1 card from your hand: If you have 1 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards. Then, this Character gains +1000 power during this turn."
EB02,EB02-053,Myskina Olga,character,onPlay|onKO,(none),,,yes,[On Play]/[On K.O.] Look at up to 1 card from the top of your or your opponent's Life cards and place it at the top or bottom of the Life cards.
EB02,EB02-054,Sanji,character,onPlay,draw+trash,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If you have 2 or less Life cards, draw 2 cards and trash 1 card from your hand."
EB02,EB02-055,Jinbe,character,custom,playCard,,yes,yes,"[Trigger] If your Leader has the {Fish-Man} or {Merfolk} type and you have 2 or less Life cards, play this card."
EB02,EB02-056,Vegapunk,character,onPlay|custom,grantKeyword+lookTopDeck+playCard+trash+draw,,yes,yes,"[Blocker][On Play] Look at 5 cards from the top of your deck; play up to 1 {Scientist} type Character card with a cost of 5 or less other than [Vegapunk]. Then, place the rest at the bottom of your deck in any order and if your opponent has 2 or less Characters, trash 1 card from your hand. [Trigger] Draw 1 card."
EB02,EB02-057,Mad Treasure,character,whenAttacking,(none),,,yes,[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: Add up to 1 of your opponent's Characters with a cost of 3 or less to the top or bottom of your opponent's Life cards face-up.
EB02,EB02-058,UUUUUS!,event,activateMain|custom,lookTopDeck,,,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-059,Without Your Help I Can't Become the King of the Pirates!!!!,event,counter,modifyPower+playCard,,yes,yes,"[Counter] Up to 1 of your Leader or Character cards gains +1000 power during this battle. Then, if you have 1 or less Life cards, play up to 1 of your yellow {Straw Hat Crew} type Character cards or [Sanji] with a cost of 5 or less from your hand."
EB02,EB02-060,Merry Go,stage,activateMain,modifyPower+rest,yes,,yes,[Activate: Main] You may rest this Stage and turn 1 card from the top of your Life cards face-up: Up to 1 of your {Straw Hat Crew} type Characters gains +1000 power until the end of your opponent's next turn.
EB02,EB02-061,Monkey.D.Luffy,character,whenAttacking,(none),,,yes,"If your Leader is multicolored and your opponent has 5 or more DON!! cards on their field, this Character gains [Rush].[When Attacking] [Once Per Turn] You may return 2 of your active DON!! cards to your DON!! deck: Set this Character as active. Then, add 1 card from the top of your Life cards to your hand."
EB03,EB03-001,Nefeltari Vivi,leader,custom|activateMain,trash+modifyPower+rest,yes,yes,yes,"[Once Per Turn] If your Character with a base cost of 4 or more would be K.O.'d, you may trash 1 card from your hand instead.[Activate: Main] You may rest this Leader: Give up to 1 of your opponent's Characters −2000 power during this turn. Then, up to 1 of your Characters without a [When Attacking] effect gains [Rush] during this turn."
EB03,EB03-003,Uta,character,onPlay,draw+playCard,,yes,yes,"[On Play] If your Leader is [Uta], draw 2 cards. Then, play up to 1 Character card with 6000 power or less and no base effect from your hand."
EB03,EB03-004,Carina,character,custom,grantKeyword+modifyPower,,yes,yes,"[Blocker][Opponent's Turn] If your Leader is multicolored and you have no Characters with 6000 base power or more, this Character gains +4000 power."
EB03,EB03-005,Sugar,character,onPlay,playCard,,yes,yes,"[On Play] If your Leader is [Sugar], play up to 1 {Donquixote Pirates} type Character card with 6000 power or less from your hand rested."
EB03,EB03-006,Nami,character,onPlay|activateMain,draw+modifyPower,yes,yes,yes,"[On Play] You may give your active Leader −5000 power during this turn: Draw 1 card.[Activate: Main] [Once Per Turn] If your Leader has the {Alabasta} type, give up to 1 of your opponent's Characters −1000 power during this turn."
EB03,EB03-007,Baccarat,character,onKO,grantKeyword+playCard,,,yes,[Blocker][On K.O.] Play up to 1 Character card with 6000 power or less and no base effect from your hand.
EB03,EB03-008,Hibari,character,onPlay|whenAttacking|activateMain,modifyPower,,,yes,[On Play]/[When Attacking] Up to 1 of your {SWORD} type Leader or Character cards can also attack active Characters during this turn.[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1000 power during this turn.
EB03,EB03-009,Makino,character,activateMain,modifyPower+rest,yes,,yes,[Activate: Main] You may rest this Character: Up to 1 of your Characters with no base effect gains +2000 power during this turn.
EB03,EB03-010,Monet,character,onPlay,grantKeyword+lookTopDeck,,,yes,"[Blocker][On Play] Look at 5 cards from the top of your deck; reveal up to 1 Character card with 1000 power or less or up to 1 Event card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
EB03,EB03-011,But If We Ever See Each Other Again... Will You Call Me Your Shipmate?!!,event,counter|custom,modifyPower,,yes,yes,"[Counter] If your Leader is [Nefeltari Vivi], up to 1 of your Leader or Character cards gains +4000 power during this battle. [Trigger] Give up to 1 of your opponent's Characters −2000 power during this turn."
EB03,EB03-012,Otama,character,activateMain,rest,yes,,yes,[Activate: Main] You may rest this Character: Rest up to 1 of your opponent's DON!! cards or {Animal} or {SMILE} type Characters with a cost of 3 or less.
EB03,EB03-013,Carrot,character,activateMain,ko+playCard,,yes,yes,"[Activate: Main] [Once Per Turn] If this Character was played on this turn, K.O. up to 1 of your opponent's rested Characters with a cost of 5 or less. Then, play up to 1 [Zou] from your hand."
EB03,EB03-014,Kuina,character,activateMain,rest+giveDon,yes,,yes,[Activate: Main] You may rest this Character: Give up to 2 rested DON!! cards to your <Slash> attribute Leader.
EB03,EB03-015,Camie,character,activateMain,rest+giveDon,yes,,yes,"[Activate: Main] You may rest this Character: Give up to 1 rested DON!! card to 1 of your {Fish-Man} or {Merfolk} type Leader or Character cards. Then, rest up to 1 of your opponent's Characters with a cost of 2 or less."
EB03,EB03-016,Kouzuki Hiyori,character,onPlay|activateMain,draw+trash+giveDon,yes,yes,yes,"[On Play] If your Leader is [Kouzuki Oden], draw 1 card.[Activate: Main] You may trash this Character: Give up to 1 rested DON!! card to your {Land of Wano} type Leader."
EB03,EB03-017,Jewelry Bonney,character,onPlay,(none),,,yes,"[On Play] If your Leader has the {Supernovas} type, set up to 1 of your DON!! cards as active. Then, up to 1 of your opponent's Characters with a cost of 8 or less cannot be rested until the end of your opponent's next End Phase."
EB03,EB03-018,Tashigi,character,endOfYourTurn,rest+trash,yes,,yes,[Opponent's Turn] This Character cannot be K.O.'d by your opponent's effects and gains [Blocker].[End of Your Turn] You may rest 1 of your DON!! cards and trash 1 card from your hand: Set this Character as active.
